%0.008544482743	0.09299271545	0.1120859617
%0.995100995	0.9515722038	0.9484125792
%Normed hits	Normed Secret Hits	Normed L_Privacy Hits
0.9768041237	0.8994845361	0.8453608247
0.9742930591	0.8997429306	0.8457583548
0.9717948718	0.9	0.8461538462
0.9693094629	0.9002557545	0.8465473146
0.9668367347	0.9005102041	0.8469387755
0.9643765903	0.9007633588	0.8473282443
0.961928934	0.9010152284	0.847715736
0.9594936709	0.9012658228	0.8481012658
0.9570707071	0.9015151515	0.8484848485
0.9546599496	0.9017632242	0.8488664987
0.9522613065	0.9020100503	0.8492462312
0.9498746867	0.9022556391	0.8496240602
0.95	0.9025	0.85
0.9476309227	0.9027431421	0.8503740648
0.947761194	0.9029850746	0.8507462687
0.9478908189	0.9032258065	0.8511166253
0.948019802	0.9034653465	0.8514851485
0.9481481481	0.9037037037	0.8518518519
0.9482758621	0.9039408867	0.8522167488
0.9484029484	0.9041769042	0.8525798526
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	0.9803921569	1
1	0.9807692308	1
1	0.9811320755	1
1	0.962962963	1
1	0.9636363636	1
1	0.9642857143	1
1	0.9649122807	1
1	0.9655172414	1
1	0.9661016949	1
1	0.9666666667	1
1	0.9672131148	1
1	0.9677419355	1
1	0.9682539683	1
1	0.96875	1
1	0.9692307692	1
1	0.9696969697	1
1	0.9701492537	1
1	0.9705882353	1
1	0.9710144928	1
1	0.9714285714	1
1	0.9718309859	1
1	0.9722222222	1
1	0.9726027397	1
1	0.972972973	1
1	0.9733333333	1
1	0.9736842105	1
1	0.974025974	1
1	0.9743589744	1
1	0.9746835443	1
1	0.975	1
1	0.975308642	1
1	0.9756097561	1
1	0.9759036145	1
1	0.9761904762	1
1	0.9764705882	1
1	0.976744186	1
1	0.9770114943	1
1	0.9772727273	1
1	0.9775280899	1
1	0.9777777778	1
1	0.978021978	1
1	0.9782608696	1
1	0.9784946237	1
1	0.9787234043	1
1	0.9789473684	1
1	0.9791666667	1
1	0.9793814433	1
1	0.9795918367	1
1	0.9797979798	1
1	0.98	1
1	0.9801980198	1
1	0.9803921569	1
1	0.9805825243	1
1	0.9807692308	1
1	0.980952381	1
1	0.9811320755	1
1	0.9813084112	1
1	0.9814814815	1
1	0.9816513761	1
1	0.9818181818	1
1	0.981981982	1
1	0.9821428571	1
1	0.982300885	1
1	0.9824561404	1
1	0.9826086957	1
1	0.9827586207	1
1	0.9829059829	1
1	0.9830508475	1
1	0.9831932773	1
1	0.9833333333	1
1	0.9834710744	1
1	0.9836065574	1
1	0.9837398374	1
1	0.9838709677	1
1	0.984	1
1	0.9841269841	1
1	0.9842519685	1
1	0.984375	1
1	0.976744186	1
1	0.9692307692	1
1	0.9618320611	1
1	0.9545454545	1
1	0.954887218	1
1	0.9552238806	1
1	0.9555555556	1
1	0.9558823529	1
1	0.9562043796	1
1	0.9565217391	1
1	0.9568345324	1
1	0.95	1
1	0.9432624113	1
1	0.9436619718	1
1	0.9440559441	1
1	0.9444444444	1
1	0.9448275862	1
1	0.9452054795	1
1	0.9455782313	1
1	0.9459459459	1
1	0.9463087248	1
1	0.9466666667	1
1	0.940397351	1
1	0.9342105263	1
1	0.9346405229	1
1	0.9350649351	1
1	0.935483871	1
1	0.9358974359	1
1	0.9363057325	1
1	0.9367088608	1
1	0.9371069182	1
1	0.9375	1
1	0.9378881988	1
1	0.9382716049	1
1	0.9386503067	1
1	0.9390243902	1
1	0.9393939394	1
1	0.9397590361	1
1	0.9401197605	1
1	0.9404761905	1
1	0.9408284024	1
1	0.9411764706	1
1	0.9415204678	1
1	0.9418604651	1
1	0.9421965318	1
1	0.9425287356	1
1	0.9428571429	1
1	0.9431818182	1
1	0.9435028249	1
1	0.9438202247	1
1	0.9441340782	1
1	0.9444444444	1
1	0.9447513812	1
1	0.9450549451	1
1	0.9453551913	1
1	0.9456521739	1
1	0.9459459459	1
1	0.9462365591	1
1	0.9465240642	1
1	0.9468085106	1
1	0.9470899471	1
1	0.9473684211	1
1	0.9476439791	1
1	0.9479166667	1
1	0.9481865285	1
1	0.9484536082	1
1	0.9487179487	1
1	0.943877551	1
1	0.9441624365	1
1	0.9444444444	1
1	0.9447236181	1
1	0.945	1
1	0.9452736318	1
1	0.9455445545	1
1	0.9458128079	1
1	0.9460784314	1
1	0.9463414634	1
1	0.9466019417	1
1	0.9468599034	1
1	0.9471153846	1
1	0.9473684211	1
1	0.9476190476	1
1	0.9431279621	1
1	0.9433962264	1
1	0.9436619718	1
1	0.9439252336	1
1	0.9441860465	1
1	0.9444444444	1
1	0.9447004608	1
1	0.9449541284	1
1	0.9452054795	1
1	0.9454545455	1
1	0.9457013575	1
1	0.9459459459	1
1	0.9461883408	1
1	0.9464285714	1
1	0.9466666667	1
1	0.9469026549	1
1	0.9471365639	1
1	0.9473684211	1
1	0.9475982533	1
1	0.947826087	1
1	0.9480519481	1
1	0.9482758621	1
1	0.9484978541	1
1	0.9487179487	1
1	0.9489361702	1
1	0.9491525424	1
1	0.9493670886	1
1	0.9495798319	1
1	0.949790795	1
1	0.95	1
1	0.9502074689	1
1	0.9504132231	1
1	0.950617284	1
0.9959016393	0.9508196721	1
0.9959183673	0.9510204082	1
0.9918699187	0.9512195122	1
0.991902834	0.951417004	1
0.9919354839	0.9516129032	1
0.9919678715	0.9518072289	1
0.992	0.952	1
0.9920318725	0.9521912351	1
0.9920634921	0.9523809524	1
0.9920948617	0.95256917	1
0.9921259843	0.9527559055	1
0.9921568627	0.9529411765	1
0.9921875	0.953125	1
0.9922178988	0.953307393	1
0.992248062	0.9534883721	1
0.9922779923	0.9536679537	1
0.9923076923	0.9538461538	1
0.9923371648	0.9540229885	1
0.9923664122	0.9541984733	1
0.9923954373	0.9543726236	1
0.9924242424	0.9545454545	1
0.9924528302	0.9547169811	1
0.992481203	0.954887218	1
0.9925093633	0.9550561798	1
0.9925373134	0.9552238806	1
0.9925650558	0.9553903346	1
0.9925925926	0.9555555556	1
0.9926199262	0.9557195572	1
0.9926470588	0.9558823529	1
0.9926739927	0.956043956	1
0.9927007299	0.9562043796	1
0.9927272727	0.9563636364	1
0.9927536232	0.9565217391	1
0.9927797834	0.9566787004	1
0.9928057554	0.9568345324	1
0.9928315412	0.9569892473	1
0.9928571429	0.9571428571	1
0.9928825623	0.9572953737	1
0.9929078014	0.9574468085	1
0.9929328622	0.9575971731	1
0.9929577465	0.9577464789	1
0.9929824561	0.9578947368	1
0.993006993	0.958041958	1
0.9930313589	0.9581881533	1
0.9930555556	0.9583333333	1
0.9930795848	0.9584775087	1
0.9931034483	0.9586206897	1
0.9931271478	0.9587628866	1
0.9931506849	0.9589041096	1
0.9931740614	0.9590443686	1
0.9931972789	0.9591836735	1
0.993220339	0.9593220339	1
0.9932432432	0.9594594595	1
0.9932659933	0.9595959596	1
0.9932885906	0.9597315436	1
0.9933110368	0.9598662207	1
0.9933333333	0.96	1
0.9933554817	0.9601328904	1
0.9933774834	0.9602649007	1
0.9933993399	0.9603960396	1
0.9934210526	0.9605263158	1
0.993442623	0.9606557377	1
0.9934640523	0.9607843137	1
0.993485342	0.9609120521	1
0.9935064935	0.961038961	1
0.9935275081	0.9611650485	1
0.9935483871	0.9612903226	1
0.9935691318	0.961414791	1
0.9935897436	0.9615384615	1
0.9936102236	0.9616613419	1
0.9936305732	0.9617834395	1
0.9936507937	0.9619047619	1
0.9936708861	0.9620253165	1
0.9936908517	0.9621451104	1
0.9937106918	0.9622641509	1
0.9937304075	0.9623824451	1
0.99375	0.9625	1
0.9937694704	0.9626168224	1
0.9937888199	0.9627329193	1
0.9938080495	0.9628482972	1
0.9938271605	0.962962963	1
0.9938461538	0.9630769231	1
0.9938650307	0.963190184	1
0.993883792	0.9633027523	1
0.993902439	0.9634146341	1
0.9939209726	0.9635258359	1
0.9939393939	0.9636363636	1
0.9939577039	0.9637462236	1
0.9939759036	0.9638554217	1
0.993993994	0.963963964	1
0.994011976	0.9640718563	1
0.9940298507	0.9641791045	1
0.994047619	0.9642857143	1
0.9940652819	0.9643916914	1
0.9940828402	0.9644970414	1
0.994100295	0.9646017699	1
0.9941176471	0.9647058824	1
0.9941348974	0.9648093842	1
0.9941520468	0.9649122807	1
0.9941690962	0.9650145773	1
0.9941860465	0.9651162791	1
0.9942028986	0.9652173913	1
0.9942196532	0.9653179191	1
0.9942363112	0.9654178674	1
0.9942528736	0.9655172414	1
0.994269341	0.9656160458	1
0.9942857143	0.9657142857	1
0.9943019943	0.9658119658	1
0.9943181818	0.9659090909	1
0.9943342776	0.9660056657	1
0.9943502825	0.9661016949	1
0.9943661972	0.9661971831	1
0.9943820225	0.9662921348	1
0.9943977591	0.9663865546	1
0.9944134078	0.9664804469	1
0.9944289694	0.9665738162	1
0.9944444444	0.9666666667	1
0.9944598338	0.9667590028	1
0.9944751381	0.9668508287	1
0.9944903581	0.9669421488	1
0.9945054945	0.967032967	1
0.9945205479	0.9671232877	1
0.9945355191	0.9672131148	1
0.9945504087	0.9673024523	1
0.9945652174	0.9673913043	1
0.9945799458	0.9674796748	1
0.9945945946	0.9675675676	1
0.9946091644	0.9676549865	1
0.9946236559	0.9677419355	1
0.9946380697	0.9678284182	1
0.9946524064	0.9679144385	1
0.9946666667	0.968	1
0.9946808511	0.9680851064	1
0.9946949602	0.9681697613	1
0.9947089947	0.9682539683	1
0.9947229551	0.9683377309	1
0.9947368421	0.9684210526	1
0.9947506562	0.968503937	1
0.9947643979	0.9685863874	1
0.9947780679	0.9686684073	1
0.9947916667	0.96875	1
0.9948051948	0.9688311688	1
0.9948186528	0.9689119171	1
0.9948320413	0.9689922481	1
0.9948453608	0.9690721649	1
0.9948586118	0.969151671	1
0.9948717949	0.9692307692	1
0.9948849105	0.9693094629	1
0.9948979592	0.9693877551	1
0.9949109415	0.9694656489	1
0.9949238579	0.9695431472	1
0.9949367089	0.9696202532	1
0.9949494949	0.9696969697	1
0.9949622166	0.9697732997	1
0.9949748744	0.9698492462	1
0.9949874687	0.969924812	1
0.995	0.97	1
0.9950124688	0.970074813	1
0.9950248756	0.9701492537	1
0.9950372208	0.9702233251	1
0.995049505	0.9702970297	1
0.9950617284	0.9703703704	1
0.9950738916	0.9704433498	1
0.9950859951	0.9705159705	1
0.9950980392	0.9705882353	1
0.9951100244	0.9706601467	1
0.9951219512	0.9707317073	1
0.99513382	0.9708029197	1
0.9951456311	0.9708737864	1
0.995157385	0.9709443099	1
0.9951690821	0.9710144928	1
0.9951807229	0.9710843373	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
